CLO/1,Centenary Jumper,A really nice momento,315,21.45,1234,10,100
CLO/2,NUS T-shirt,A really cool t-shirt,400,12.5,1235,10,100
DIA/1,NUS Diary S,Small Diary,215,5.5,5123,10,100
DIA/2,NUS Diary L,Large Diary,113,2.5,5124,10,100
MUG/1,Centenary Mug,A really nice mug this time,525,10.25,9876,25,150
MUG/2,NUS Mug,A really cool mug this time,400,9.5,9877,25,150
SNA/1,Potato Chips,A really tasty packet of chips,99,2,4123,10,100
SNA/2,Mints,A really refreshing box of mints,77,1,4124,10,100
STA/1,NUS Pen,A really cute blue pen,768,5.75,123459876,50,250
STA/2,NUS Notepad,Great notepad for those lectures,1000,3.15,6789,25,75
